id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
6369,"Raymond W. Lessard, 85, American Roman Catholic prelate, Bishop of Savannah (1973–1995).[56]",https://en.wikipedia.org/wiki/Raymond_W._Lessard,2016-01-03 00:00:00,Raymond W. Lessard,85.0,American,," Roman Catholic prelate, Bishop of Savannah (1973–1995)",0,0,2062,56,29,55
6370,"Raghu Nandan Mandal, 63, Indian politician.[57]",https://en.wikipedia.org/wiki/Raghu_Nandan_Mandal,2016-01-03 00:00:00,Raghu Nandan Mandal,63.0,Indian,, politician,0,0,1084,57,18,10
6371,"Andy Maurer, 67, American football player (Atlanta Falcons, Minnesota Vikings, Denver Broncos), cancer.[58]",https://en.wikipedia.org/wiki/Andy_Maurer,2016-01-03 00:00:00,Andy Maurer,67.0,American,cancer, football player (Atlanta Falcons Minnesota Vikings Denver Broncos),0,0,673,51,33,36
6372,"Peter Naur, 87, Danish computer science pioneer, Turing Award winner.[59]",https://en.wikipedia.org/wiki/Peter_Naur,2016-01-03 00:00:00,Peter Naur,87.0,Danish,," computer science pioneer, Turing Award winner",0,0,2650,165,121,147
6373,"Georg Nees, 89, German academic and artist.[60]",https://en.wikipedia.org/wiki/Georg_Nees,2016-01-03 00:00:00,Georg Nees,89.0,German,, academic and artist,0,0,8807,76,37,37
6374,"Bill Plager, 70, Canadian ice hockey player (St. Louis Blues).[61]",https://en.wikipedia.org/wiki/Bill_Plager,2016-01-03 00:00:00,Bill Plager,70.0,Canadian,, ice hockey player (St. Louis Blues),0,0,860,67,37,35
6375,"Peter Powell, 83, English kite maker, stroke.[62]",https://en.wikipedia.org/wiki/Peter_Powell_(kite),2016-01-03 00:00:00,Peter Powell,83.0,English,stroke, kite maker,0,0,1976,67,42,13
6376,"Tommy Sale, 97, English rugby league player (Leigh, Widnes).[63]",https://en.wikipedia.org/wiki/Tommy_Sale_(rugby_league),2016-01-03 00:00:00,Tommy Sale,97.0,English,," rugby league player (Leigh, Widnes)",0,0,123,10,6,7
6377,"Igor Sergun, 58, Russian military officer, Director of the GRU (since 2011).[64]",https://en.wikipedia.org/wiki/Igor_Sergun,2016-01-03 00:00:00,Igor Sergun,58.0,Russian,," military officer, Director of the GRU (since 2011)",0,0,2532,110,60,135
6378,"Ted Stanley, 84, American philanthropist and businessman (Danbury Mint).[65]",https://en.wikipedia.org/wiki/Ted_Stanley,2016-01-03 00:00:00,Ted Stanley,84.0,American,, philanthropist and businessman (Danbury Mint),0,0,2003,64,15,16
6379,"Tom Allin, 28, English cricketer (Warwickshire), suicide by jumping.[66]",https://en.wikipedia.org/wiki/Tom_Allin,2016-01-04 00:00:00,Tom Allin,28.0,English,suicide by jumping, cricketer (Warwickshire),0,0,485,27,16,11
6380,"Frank Armitage, 91, Australian-born American painter and animator (Mary Poppins, Lady and the Tramp, The Jungle Book).[67]",https://en.wikipedia.org/wiki/Frank_Armitage,2016-01-04 00:00:00,Frank Armitage,91.0,Australian-born American,," painter and animator (Mary Poppins, Lady and the Tramp, The Jungle Book)",0,0,4544,41,28,13
6381,"Jan Aronsson, 84, Swedish footballer.[68]",https://en.wikipedia.org/wiki/Jan_Aronsson,2016-01-04 00:00:00,Jan Aronsson,84.0,Swedish,, footballer,0,0,287,9,7,12
6382,"Robert Balser, 88, American animator (Yellow Submarine, Heavy Metal, The Jackson 5ive), respiratory failure.[69]",https://en.wikipedia.org/wiki/Robert_Balser,2016-01-04 00:00:00,Robert Balser,88.0,American,respiratory failure, animator (Yellow Submarine Heavy Metal The Jackson 5ive),0,0,5859,12,8,11
6383,"Fernando Barrachina, 68, Spanish footballer (Valencia CF).[70]",https://en.wikipedia.org/wiki/Fernando_Barrachina,2016-01-04 00:00:00,Fernando Barrachina,68.0,Spanish,, footballer (Valencia CF),0,0,379,6,3,10
6384,"Stephen W. Bosworth, 76, American diplomat, Ambassador to South Korea (1997–2001), prostate cancer.[71]",https://en.wikipedia.org/wiki/Stephen_W._Bosworth,2016-01-04 00:00:00,Stephen W. Bosworth,76.0,American,prostate cancer, diplomat Ambassador to South Korea (1997–2001),0,0,2605,124,77,85
6385,"Colin Butler, 102, British entomologist.[72]",https://en.wikipedia.org/wiki/Colin_Butler_(entomologist),2016-01-04 00:00:00,Colin Butler,102.0,British,, entomologist,0,0,327,13,10,16
6386,"Rūsiņš Mārtiņš Freivalds, 73, Latvian computer scientist and mathematician, heart attack.[73]",https://en.wikipedia.org/wiki/R%C5%ABsi%C5%86%C5%A1_M%C4%81rti%C5%86%C5%A1_Freivalds,2016-01-04 00:00:00,Rūsiņš Mārtiņš Freivalds,73.0,Latvian,heart attack, computer scientist and mathematician,0,0,502,8,4,10
6387,"Michel Galabru, 93, French actor (The Judge and the Assassin, La Cage aux Folles, Belle Époque).[74]",https://en.wikipedia.org/wiki/Michel_Galabru,2016-01-04 00:00:00,Michel Galabru,93.0,French,," actor (The Judge and the Assassin, La Cage aux Folles, Belle Époque)",0,0,919,175,94,185
6388,"Long John Hunter, 84, American blues guitarist and singer-songwriter.[75]",https://en.wikipedia.org/wiki/Long_John_Hunter,2016-01-04 00:00:00,Long John Hunter,84.0,American,, blues guitarist and singer-songwriter,0,0,1656,30,14,19
6389,"S. H. Kapadia, 68, Indian judge, Chief Justice (2010–2012).[76]",https://en.wikipedia.org/wiki/S._H._Kapadia,2016-01-04 00:00:00,S. H. Kapadia,68.0,Indian,," judge, Chief Justice (2010–2012)",0,0,3618,185,98,83
6390,"Jorge Lepra, 73, Uruguayan diplomat and politician, heart failure.[77]",https://en.wikipedia.org/wiki/Jorge_Lepra,2016-01-04 00:00:00,Jorge Lepra,73.0,Uruguayan,heart failure, diplomat and politician,0,0,648,39,22,12
6391,"Maja Maranow, 54, German actress (Beloved Sisters), breast cancer.[78]",https://en.wikipedia.org/wiki/Maja_Maranow,2016-01-04 00:00:00,Maja Maranow,54.0,German,breast cancer, actress (Beloved Sisters),0,0,149,6,5,17
6392,"Achim Mentzel, 69, German musician and television presenter.[79]",https://en.wikipedia.org/wiki/Achim_Mentzel,2016-01-04 00:00:00,Achim Mentzel,69.0,German,, musician and television presenter,0,0,750,6,6,6
6393,"Red Parker, 84, American football coach (The Citadel, Clemson, Ole Miss).[80]",https://en.wikipedia.org/wiki/Red_Parker,2016-01-04 00:00:00,Red Parker,84.0,American,," football coach (The Citadel, Clemson, Ole Miss)",0,0,1064,77,36,102
6394,"Donald J. Parsons, 93, American Episcopal prelate, Bishop of Quincy (1973–1988).[81]",https://en.wikipedia.org/wiki/Donald_J._Parsons,2016-01-04 00:00:00,Donald J. Parsons,93.0,American,," Episcopal prelate, Bishop of Quincy (1973–1988)",0,0,293,14,8,10
6395,"Marjorie Pizer, 95, Australian poet.[82]",https://en.wikipedia.org/wiki/Marjorie_Pizer,2016-01-04 00:00:00,Marjorie Pizer,95.0,Australian,, poet,0,0,1491,22,19,10
6396,"Joseph Ritz, 86, American author and playwright.[83]",https://en.wikipedia.org/wiki/Joseph_Ritz,2016-01-04 00:00:00,Joseph Ritz,86.0,American,, author and playwright,0,0,3242,31,22,12
6397,"John Roberts, 69, Welsh footballer (Arsenal, Birmingham, Wrexham).[84]","https://en.wikipedia.org/wiki/John_Roberts_(footballer,_born_1946)",2016-01-04 00:00:00,John Roberts,69.0,Welsh,," footballer (Arsenal, Birmingham, Wrexham)",0,0,1236,52,32,67
6398,"Andres Rodriguez, 31, Venezuelan equestrian competitor, silver medalist at the 2015 Pan American Games, traffic collision.[85]",https://en.wikipedia.org/wiki/Andres_Rodriguez_(show_jumper),2016-01-04 00:00:00,Andres Rodriguez,31.0,Venezuelan,traffic collision, equestrian competitor silver medalist at the 2015 Pan American Games,0,0,3391,82,24,23
6399,"Leo Rucka, 84, American football player (San Francisco 49ers).[86]",https://en.wikipedia.org/wiki/Leo_Rucka,2016-01-04 00:00:00,Leo Rucka,84.0,American,, football player (San Francisco 49ers),0,0,1412,74,18,23
6400,"Alexander O. Shirley, 88, British Virgin Islands civil servant and cricketer, Accountant General (1967–1987), namesake of the A. O. Shirley Recreation Ground.[87]",https://en.wikipedia.org/wiki/Alexander_O._Shirley,2016-01-04 00:00:00,Alexander O. Shirley,88.0,British,," Virgin Islands civil servant and cricketer, Accountant General (1967–1987), namesake of the A. O. Shirley Recreation Ground",0,0,2574,5,5,6
6401,"Antonio Soto Díaz, 66, Puerto Rican politician, member of the Puerto Rico Senate (2009–2011), heart attack.[88]",https://en.wikipedia.org/wiki/Antonio_Soto_D%C3%ADaz,2016-01-04 00:00:00,Antonio Soto Díaz,66.0,Puerto Rican,heart attack, politician member of the Puerto Rico Senate (2009–2011),0,0,4483,40,18,12
6402,"Robert Stigwood, 81, Australian band manager (Bee Gees, Cream) and film producer (Grease, Saturday Night Fever, Evita).[89]",https://en.wikipedia.org/wiki/Robert_Stigwood,2016-01-04 00:00:00,Robert Stigwood,81.0,Australian,," band manager (Bee Gees, Cream) and film producer (Grease, Saturday Night Fever, Evita)",0,0,34179,515,236,429
