id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
0,"Barbara Atkinson, 88, British actress (Z-Cars).[1]",https://en.wikipedia.org/wiki/Barbara_Atkinson,2015-01-01 00:00:00,Barbara Atkinson,88.0,British,, actress (Z-Cars),0,0,1605,23,15,14
1,"Staryl C. Austin, 94, American air force brigadier general.[2]",https://en.wikipedia.org/wiki/Staryl_C._Austin,2015-01-01 00:00:00,Staryl C. Austin,94.0,American,, air force brigadier general,0,0,6073,94,9,18
2,"Ulrich Beck, 70, German sociologist, heart attack.[3]",https://en.wikipedia.org/wiki/Ulrich_Beck,2015-01-01 00:00:00,Ulrich Beck,70.0,German,heart attack, sociologist,0,0,6430,294,162,250
3,"Fiona Cumming, 77, British television director (Doctor Who).[4]",https://en.wikipedia.org/wiki/Fiona_Cumming,2015-01-01 00:00:00,Fiona Cumming,77.0,British,, television director (Doctor Who),0,0,3623,14,8,34
4,"Eric Cunningham, 65, Canadian politician, Ontario MPP for Wentworth North (1975–1984).[5]",https://en.wikipedia.org/wiki/Eric_Cunningham,2015-01-01 00:00:00,Eric Cunningham,65.0,Canadian,," politician, Ontario MPP for Wentworth North (1975–1984)",0,0,1826,39,31,25
5,"Mario Cuomo, 82, American politician, Governor of New York (1983–1994), heart failure.[6]",https://en.wikipedia.org/wiki/Mario_Cuomo,2015-01-01 00:00:00,Mario Cuomo,82.0,American,heart failure, politician Governor of New York (1983–1994),3,32,27059,951,520,741
6,"Donna Douglas, 82, American actress (The Beverly Hillbillies, Frankie and Johnny, The Twilight Zone), pancreatic cancer.[7]",https://en.wikipedia.org/wiki/Donna_Douglas,2015-01-01 00:00:00,Donna Douglas,82.0,American,pancreatic cancer, actress (The Beverly Hillbillies Frankie and Johnny The Twilight Zone),0,0,9356,927,402,121
7,"Matthew Franjola, 72, American journalist (Associated Press) and photographer.[8]",https://en.wikipedia.org/wiki/Matthew_Franjola,2015-01-01 00:00:00,Matthew Franjola,72.0,American,, journalist (Associated Press) and photographer,0,0,1442,4,3,5
8,"Jeff Golub, 59, American guitarist, progressive supranuclear palsy.[9]",https://en.wikipedia.org/wiki/Jeff_Golub,2015-01-01 00:00:00,Jeff Golub,59.0,American,progressive supranuclear palsy, guitarist,0,0,1991,105,66,71
9,"Omar Karami, 80, Lebanese politician, Prime Minister (1990–1992, 2004–2005).[10]",https://en.wikipedia.org/wiki/Omar_Karami,2015-01-01 00:00:00,Omar Karami,80.0,Lebanese,," politician, Prime Minister (1990–1992, 2004–2005)",0,0,2697,233,135,122
10,"Bill Keating, 70, American football player (Denver Broncos, Miami Dolphins) and attorney.[11]",https://en.wikipedia.org/wiki/Bill_Keating_(American_football),2015-01-01 00:00:00,Bill Keating,70.0,American,," football player (Denver Broncos, Miami Dolphins) and attorney",0,0,1537,31,18,16
11,"Tore Helge Larsen, 69, Norwegian harness racer.[12]",https://en.wikipedia.org/wiki/Tore_Helge_Larsen,2015-01-01 00:00:00,Tore Helge Larsen,69.0,Norwegian,, harness racer,0,0,239,4,4,5
12,"Géry Leuliet, 104, French Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985).[13]",https://en.wikipedia.org/wiki/G%C3%A9ry_Leuliet,2015-01-01 00:00:00,Géry Leuliet,104.0,French,," Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985)",0,0,712,63,44,15
13,"Boris Morukov, 64, Russian physician and cosmonaut, STS-106 mission specialist.[14]",https://en.wikipedia.org/wiki/Boris_Morukov,2015-01-01 00:00:00,Boris Morukov,64.0,Russian,," physician and cosmonaut, STS-106 mission specialist",0,0,3719,80,61,36
14,"Kjell Noreik, 85, Norwegian physician.[15]",https://en.wikipedia.org/wiki/Kjell_Noreik,2015-01-01 00:00:00,Kjell Noreik,85.0,Norwegian,, physician,0,0,341,6,6,7
15,"Mrunalini Devi Puar, 83, Indian educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988).[16]",https://en.wikipedia.org/wiki/Mrunalini_Devi_Puar,2015-01-01 00:00:00,Mrunalini Devi Puar,83.0,Indian,," educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988)",0,0,738,26,10,16
16,"Ninón Sevilla, 93, Cuban-born Mexican actress (Aventurera), heart attack.[17]",https://en.wikipedia.org/wiki/Nin%C3%B3n_Sevilla,2015-01-01 00:00:00,Ninón Sevilla,93.0,Cuban-born Mexican,heart attack, actress (Aventurera),0,0,4457,171,80,76
17,"William Lloyd Standish, 84, American federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002).[18]",https://en.wikipedia.org/wiki/William_Lloyd_Standish,2015-01-01 00:00:00,William Lloyd Standish,84.0,American,," federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002)",0,0,950,39,18,20
18,"Manasa Vaniqi, 62, Fijian civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009).[19]",https://en.wikipedia.org/wiki/Manasa_Vaniqi,2015-01-01 00:00:00,Manasa Vaniqi,62.0,Fijian,," civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009)",0,0,2446,9,6,7
19,"Miller Williams, 84, American poet, Alzheimer's disease.[20]",https://en.wikipedia.org/wiki/Miller_Williams,2015-01-01 00:00:00,Miller Williams,84.0,American,Alzheimer's disease, poet,0,0,2488,118,70,50
20,"Per-Olof Åstrand, 92, Swedish physiologist.[21]",https://en.wikipedia.org/wiki/Per-Olof_%C3%85strand,2015-01-02 00:00:00,Per-Olof Åstrand,92.0,Swedish,, physiologist,0,0,1732,35,14,11
21,"James A. Barlow, 91, American politician, member of the Wyoming House of Representatives (1983–1987).[22]",https://en.wikipedia.org/wiki/James_A._Barlow,2015-01-02 00:00:00,James A. Barlow,91.0,American,," politician, member of the Wyoming House of Representatives (1983–1987)",0,0,620,5,4,13
22,"Charles Baur, 85, French politician, President of the Regional Council of Picardy (1976–1978, 1985–2004).[23]",https://en.wikipedia.org/wiki/Charles_Baur,2015-01-02 00:00:00,Charles Baur,85.0,French,," politician, President of the Regional Council of Picardy (1976–1978, 1985–2004)",0,0,1436,9,6,15
23,"Noel Cobb, 76, American-born British philosopher, psychologist and author.[24]",https://en.wikipedia.org/wiki/Noel_Cobb,2015-01-02 00:00:00,Noel Cobb,76.0,American-born British,," philosopher, psychologist and author",0,0,1330,22,9,7
24,"Little Jimmy Dickens, 94, American country music singer (""May the Bird of Paradise Fly Up Your Nose""), cardiac arrest.[25]",https://en.wikipedia.org/wiki/Little_Jimmy_Dickens,2015-01-02 00:00:00,Little Jimmy Dickens,94.0,American,cardiac arrest," country music singer (""May the Bird of Paradise Fly Up Your Nose"")",0,0,4430,358,214,378
25,"Baldina Di Vittorio, 94, Italian politician.[26]",https://en.wikipedia.org/wiki/Baldina_Di_Vittorio,2015-01-02 00:00:00,Baldina Di Vittorio,94.0,Italian,, politician,0,0,863,6,3,7
26,"Danny Dunton, 90, English speedway rider and promoter.[27]",https://en.wikipedia.org/wiki/Danny_Dunton,2015-01-02 00:00:00,Danny Dunton,90.0,English,, speedway rider and promoter,0,0,3054,56,29,18
27,"Maurice Fontaine, 95, French politician.[28]",https://en.wikipedia.org/wiki/Maurice_Fontaine,2015-01-02 00:00:00,Maurice Fontaine,95.0,French,, politician,0,0,493,16,11,10
28,"Bob Gilmore, 53, British musicologist.[29]",https://en.wikipedia.org/wiki/Bob_Gilmore,2015-01-02 00:00:00,Bob Gilmore,53.0,British,, musicologist,0,0,1474,97,50,41
29,"Vasant Gowarikar, 81, Indian scientist and ISRO chairman, dengue and urinary tract infection.[30]",https://en.wikipedia.org/wiki/Vasant_Gowarikar,2015-01-02 00:00:00,Vasant Gowarikar,81.0,Indian,dengue and urinary tract infection, scientist and ISRO chairman,0,0,2162,49,21,290
30,"Basil Hansen, 88, Australian Olympic ice hockey player (1960).[31]",https://en.wikipedia.org/wiki/Basil_Hansen,2015-01-02 00:00:00,Basil Hansen,88.0,Australian,, Olympic ice hockey player (1960),0,0,1740,31,16,10
31,"Lloyd House, 83, American politician, member of the Arizona House of Representatives (1967–1968).[32]",https://en.wikipedia.org/wiki/Lloyd_House_(politician),2015-01-02 00:00:00,Lloyd House,83.0,American,," politician, member of the Arizona House of Representatives (1967–1968)",0,0,418,14,8,6
32,"Lam Pou-chuen, 63, Hong Kong dubbing artist (Doraemon), diabetes.[33]",https://en.wikipedia.org/wiki/Lam_Pou-chuen,2015-01-02 00:00:00,Lam Pou-chuen,63.0,Hong Kong,diabetes, dubbing artist (Doraemon),0,0,2102,48,22,16
33,"Abu Anas al-Libi, 50, Libyan al-Qaeda member in United States custody, liver cancer.[34]",https://en.wikipedia.org/wiki/Abu_Anas_al-Libi,2015-01-02 00:00:00,Abu Anas al-Libi,50.0,Libyan,liver cancer, al-Qaeda member in United States custody,0,0,5022,332,175,277
34,"John McQuilten, 65, Australian politician, member of the Victorian Legislative Council for Ballarat (1999–2006).[35]",https://en.wikipedia.org/wiki/John_McQuilten,2015-01-02 00:00:00,John McQuilten,65.0,Australian,," politician, member of the Victorian Legislative Council for Ballarat (1999–2006)",0,0,514,13,8,25
35,"Derek Minter, 82, British Grand Prix motorcycle and short-circuit road racer.[36]",https://en.wikipedia.org/wiki/Derek_Minter,2015-01-02 00:00:00,Derek Minter,82.0,British,, Grand Prix motorcycle and short-circuit road racer,0,0,4918,67,30,52
36,"Arthur Neu, 81, American politician, Lieutenant Governor of Iowa (1973–1979), member of the Iowa Senate (1967–1973).[37]",https://en.wikipedia.org/wiki/Arthur_Neu,2015-01-02 00:00:00,Arthur Neu,81.0,American,," politician, Lieutenant Governor of Iowa (1973–1979), member of the Iowa Senate (1967–1973)",0,0,645,35,15,23
37,"Tihomir Novakov, 85, Serbian-born American physicist.[38]",https://en.wikipedia.org/wiki/Tihomir_Novakov,2015-01-02 00:00:00,Tihomir Novakov,85.0,Serbian-born American,, physicist,0,0,3565,70,28,25
38,"István Pásztor, 89, Hungarian Olympic cyclist (1952).[39]",https://en.wikipedia.org/wiki/Istv%C3%A1n_P%C3%A1sztor_(cyclist),2015-01-02 00:00:00,István Pásztor,89.0,Hungarian,, Olympic cyclist (1952),0,0,150,11,5,8
39,"Arpád Račko, 84, Hungarian-born Slovak sculptor.[40]",https://en.wikipedia.org/wiki/Arp%C3%A1d_Ra%C4%8Dko,2015-01-02 00:00:00,Arpád Račko,84.0,Hungarian-born Slovak,, sculptor,0,0,692,32,24,21
40,"Vincent Cartledge Reddish, 86, Scottish astronomer, Astronomer Royal for Scotland (1975–1980).[41]",https://en.wikipedia.org/wiki/Vincent_Cartledge_Reddish,2015-01-02 00:00:00,Vincent Cartledge Reddish,86.0,Scottish,," astronomer, Astronomer Royal for Scotland (1975–1980)",0,0,138,10,8,8
41,"Kristian Sundtoft, 77, Norwegian politician.[42]",https://en.wikipedia.org/wiki/Kristian_Sundtoft,2015-01-02 00:00:00,Kristian Sundtoft,77.0,Norwegian,, politician,0,0,920,4,4,5
42,"Jamal Uddin Ahmad, 85, Bangladeshi politician, Deputy Prime Minister (1977–1982).[43]",https://en.wikipedia.org/wiki/Jamal_Uddin_Ahmad,2015-01-03 00:00:00,Jamal Uddin Ahmad,85.0,Bangladeshi,," politician, Deputy Prime Minister (1977–1982)",0,0,748,6,6,8
43,"Daniel Albright, 69, American academic.[44]",https://en.wikipedia.org/wiki/Daniel_Albright,2015-01-03 00:00:00,Daniel Albright,69.0,American,, academic,0,0,1502,72,51,24
44,"Martin Anderson, 78, American economist and political adviser.[45]",https://en.wikipedia.org/wiki/Martin_Anderson_(economist),2015-01-03 00:00:00,Martin Anderson,78.0,American,, economist and political adviser,0,0,3213,51,36,30
45,"Adunni Bankole, 55, Nigerian businesswoman.[46]",https://en.wikipedia.org/wiki/Adunni_Bankole,2015-01-03 00:00:00,Adunni Bankole,55.0,Nigerian,, businesswoman,0,0,632,14,13,4
46,"Edward Brooke, 95, American politician, member of the U.S. Senate from Massachusetts (1967–1979).[47]",https://en.wikipedia.org/wiki/Edward_Brooke,2015-01-03 00:00:00,Edward Brooke,95.0,American,," politician, member of the U.S. Senate from Massachusetts (1967–1979)",0,0,11765,852,483,378
47,"Bryan Caldwell, 54, American football player (Houston Oilers), Hodgkin's lymphoma.[48]",https://en.wikipedia.org/wiki/Bryan_Caldwell,2015-01-03 00:00:00,Bryan Caldwell,54.0,American,Hodgkin's lymphoma, football player (Houston Oilers),0,0,1355,22,16,27
48,"Paulinus Costa, 78, Bangladeshi Roman Catholic prelate, Archbishop of Dhaka (2005–2011), heart attack.[49]",https://en.wikipedia.org/wiki/Paulinus_Costa,2015-01-03 00:00:00,Paulinus Costa,78.0,Bangladeshi,heart attack, Roman Catholic prelate Archbishop of Dhaka (2005–2011),0,0,1201,39,18,11
49,"Maher Hathout, 79, Egyptian-born American Islamic leader, cancer.[50]",https://en.wikipedia.org/wiki/Maher_Hathout,2015-01-03 00:00:00,Maher Hathout,79.0,Egyptian-born American,cancer, Islamic leader,0,0,2191,27,19,8
50,"Bill Jessup, 85, American football player (San Francisco 49ers).[51]",https://en.wikipedia.org/wiki/Bill_Jessup,2015-01-03 00:00:00,Bill Jessup,85.0,American,, football player (San Francisco 49ers),0,0,352,17,12,43
51,"Rueben Philip Job, 86, American United Methodist prelate, Bishop of the Iowa Episcopal Area (1984–1992).[52]",https://en.wikipedia.org/wiki/Rueben_Philip_Job,2015-01-03 00:00:00,Rueben Philip Job,86.0,American,," United Methodist prelate, Bishop of the Iowa Episcopal Area (1984–1992)",0,0,2414,67,33,12
52,"Muath al-Kasasbeh, 26, Jordanian fighter pilot and ISIS hostage, burned alive.[53]",https://en.wikipedia.org/wiki/Muath_al-Kasasbeh,2015-01-03 00:00:00,Muath al-Kasasbeh,26.0,Jordanian,burned alive, fighter pilot and ISIS hostage,0,0,10254,1,1,55
53,"Roger Kitter, 65, British actor ('Allo 'Allo!) and entertainer, cancer.[54]",https://en.wikipedia.org/wiki/Roger_Kitter,2015-01-03 00:00:00,Roger Kitter,65.0,British,cancer, actor ('Allo 'Allo!) and entertainer,0,0,1098,89,63,36
54,"Olga Knyazeva, 60, Russian fencer, Olympic champion (1976).[55]",https://en.wikipedia.org/wiki/Olga_Knyazeva,2015-01-03 00:00:00,Olga Knyazeva,60.0,Russian,," fencer, Olympic champion (1976)",0,0,941,31,17,81
55,"Bernice Madigan, 115, American supercentenarian, world's fifth-oldest person.[56]",https://en.wikipedia.org/wiki/Bernice_Madigan,2015-01-03 00:00:00,Bernice Madigan,115.0,American,," supercentenarian, world's fifth-oldest person",0,0,1441,249,113,40
56,"Willy Ovesen, 90, Norwegian civil servant.[57]",https://en.wikipedia.org/wiki/Willy_Ovesen,2015-01-03 00:00:00,Willy Ovesen,90.0,Norwegian,, civil servant,0,0,368,14,11,10
57,"Terence Ranger, 85, British historian.[58]",https://en.wikipedia.org/wiki/Terence_Ranger,2015-01-03 00:00:00,Terence Ranger,85.0,British,, historian,0,0,4426,78,44,52
58,"Jaime Romero Móran, 22, Mexican gymnast, shot.[59]",https://en.wikipedia.org/wiki/Jaime_Romero_M%C3%B3ran,2015-01-03 00:00:00,Jaime Romero Móran,22.0,Mexican,shot, gymnast,0,0,500,34,6,9
59,"Allie Sherman, 91, American football player (Philadelphia Eagles) and coach (New York Giants).[60]",https://en.wikipedia.org/wiki/Allie_Sherman,2015-01-03 00:00:00,Allie Sherman,91.0,American,, football player (Philadelphia Eagles) and coach (New York Giants),0,0,18588,156,76,392
60,"Jouko Törmänen, 60, Finnish ski jumper, Olympic champion (1980).[61]",https://en.wikipedia.org/wiki/Jouko_T%C3%B6rm%C3%A4nen,2015-01-03 00:00:00,Jouko Törmänen,60.0,Finnish,," ski jumper, Olympic champion (1980)",0,0,226,64,34,48
61,"Chang Sung-hwan, 94, South Korean general and diplomat, Chief of Staff of the Air Force (1962–1964).[62]",https://en.wikipedia.org/wiki/Chang_Sung-hwan,2015-01-04 00:00:00,Chang Sung-hwan,94.0,South Korean,," general and diplomat, Chief of Staff of the Air Force (1962–1964)",0,0,555,14,12,5
62,"Elisabetta Catalano, 70, Italian fine-art photographer.[63]",https://en.wikipedia.org/wiki/Elisabetta_Catalano,2015-01-04 00:00:00,Elisabetta Catalano,70.0,Italian,, fine-art photographer,0,0,1232,9,5,6
63,"Pino Daniele, 59, Italian singer and songwriter, heart attack.[64]",https://en.wikipedia.org/wiki/Pino_Daniele,2015-01-04 00:00:00,Pino Daniele,59.0,Italian,heart attack, singer and songwriter,0,0,3412,275,154,177
64,"Chitresh Das, 70, Indian dancer, instructor and choreographer, aneurysm.[65]",https://en.wikipedia.org/wiki/Chitresh_Das,2015-01-04 00:00:00,Chitresh Das,70.0,Indian,aneurysm, dancer instructor and choreographer,0,0,12640,103,47,31
65,"Al Delugach, 89, American Pulitzer Prize-winning reporter, mesothelioma.[66]",https://en.wikipedia.org/wiki/Al_Delugach,2015-01-04 00:00:00,Al Delugach,89.0,American,mesothelioma, Pulitzer Prize-winning reporter,0,0,529,3,3,11
66,"Lance Diamond, 69, American singer.[67]",https://en.wikipedia.org/wiki/Lance_Diamond,2015-01-04 00:00:00,Lance Diamond,69.0,American,, singer,0,0,1764,137,78,32
67,"Jay Furman, 72, American real estate developer, cancer.[68]",https://en.wikipedia.org/wiki/Jay_Furman,2015-01-04 00:00:00,Jay Furman,72.0,American,cancer, real estate developer,0,0,1982,64,44,19
68,"He Zhenliang, 85, Chinese politician and diplomat.[69]",https://en.wikipedia.org/wiki/He_Zhenliang,2015-01-04 00:00:00,He Zhenliang,85.0,Chinese,, politician and diplomat,0,0,2198,47,29,13
69,"Gene Kemp, 88, British children's author (The Turbulent Term of Tyke Tiler).[70]",https://en.wikipedia.org/wiki/Gene_Kemp,2015-01-04 00:00:00,Gene Kemp,88.0,British,, children's author (The Turbulent Term of Tyke Tiler),0,0,2255,64,52,36
70,"Haroldo Lara, 80, Brazilian Olympic swimmer (1952, 1956).[71]",https://en.wikipedia.org/wiki/Haroldo_Lara,2015-01-04 00:00:00,Haroldo Lara,80.0,Brazilian,," Olympic swimmer (1952, 1956)",0,0,1035,20,14,10
71,"Azizullah Lodin, 75–76, Afghan politician.[72]",https://en.wikipedia.org/wiki/Azizullah_Lodin,2015-01-04 00:00:00,Azizullah Lodin,76.0,Afghan,, politician,0,0,753,56,28,15
72,"Gasan Magomedov, 20, Russian footballer (Anzhi-2), shot.[73]",https://en.wikipedia.org/wiki/Gasan_Magomedov,2015-01-04 00:00:00,Gasan Magomedov,20.0,Russian,shot, footballer (Anzhi-2),0,0,747,32,19,9
73,"John McPhee, 77, Scottish footballer (Blackpool, Motherwell).[74]",https://en.wikipedia.org/wiki/John_McPhee_(footballer),2015-01-04 00:00:00,John McPhee,77.0,Scottish,," footballer (Blackpool, Motherwell)",0,0,2286,48,27,18
74,"Stu Miller, 87, American baseball player (San Francisco Giants, Baltimore Orioles).[75]",https://en.wikipedia.org/wiki/Stu_Miller,2015-01-04 00:00:00,Stu Miller,87.0,American,," baseball player (San Francisco Giants, Baltimore Orioles)",0,0,2240,100,57,264
75,"Juan Isidro Moreno, 90, Dominican Republic poet.[76]",https://en.wikipedia.org/wiki/Juan_Isidro_Moreno,2015-01-04 00:00:00,Juan Isidro Moreno,90.0,Dominican Republic,, poet,0,0,230,14,7,7
76,"Hasan Hazer Moshar, 91, Iranian artist.[77]",https://en.wikipedia.org/wiki/Hasan_Hazer_Moshar,2015-01-04 00:00:00,Hasan Hazer Moshar,91.0,Iranian,, artist,0,0,1947,51,11,7
77,"Jack Parr, 78, American basketball player (Cincinnati Royals).[78]",https://en.wikipedia.org/wiki/Jack_Parr_(basketball),2015-01-04 00:00:00,Jack Parr,78.0,American,, basketball player (Cincinnati Royals),0,0,1569,36,23,21
78,"Natalino Pescarolo, 85, Italian Roman Catholic prelate, Bishop of Fossano (1992–2005) and Cuneo (1999–2005).[79]",https://en.wikipedia.org/wiki/Natalino_Pescarolo,2015-01-04 00:00:00,Natalino Pescarolo,85.0,Italian,," Roman Catholic prelate, Bishop of Fossano (1992–2005) and Cuneo (1999–2005)",0,0,314,6,5,7
79,"Hank Peters, 90, American baseball executive (Baltimore Orioles), complications from a stroke.[80]",https://en.wikipedia.org/wiki/Hank_Peters,2015-01-04 00:00:00,Hank Peters,90.0,American,complications from a stroke, baseball executive (Baltimore Orioles),0,0,5753,89,29,193
80,"Ahuti Prasad, 57, Indian actor, colon cancer.[81]",https://en.wikipedia.org/wiki/Ahuti_Prasad,2015-01-04 00:00:00,Ahuti Prasad,57.0,Indian,colon cancer, actor,0,0,1443,243,67,156
81,"Ives Roqueta, 78, French Occitan author.[82]",https://en.wikipedia.org/wiki/Ives_Roqueta,2015-01-04 00:00:00,Ives Roqueta,78.0,French,, Occitan author,0,0,895,39,24,16
82,"Eli Sagan, 87, American clothing manufacturer, cultural anthropology author and Nixon Enemy.[83]",https://en.wikipedia.org/wiki/Eli_Sagan,2015-01-04 00:00:00,Eli Sagan,87.0,American,," clothing manufacturer, cultural anthropology author and Nixon Enemy",0,0,4325,21,10,11
83,"Stuart Scott, 49, American sports journalist (SportsCenter), appendix cancer.[84]",https://en.wikipedia.org/wiki/Stuart_Scott,2015-01-04 00:00:00,Stuart Scott,49.0,American,appendix cancer, sports journalist (SportsCenter),1,106,14388,2033,1115,512
84,"Michele Serros, 48, American novelist and poet, adenocarcinoma of the salivary gland.[85]",https://en.wikipedia.org/wiki/Michele_Serros,2015-01-04 00:00:00,Michele Serros,48.0,American,adenocarcinoma of the salivary gland, novelist and poet,0,0,8201,155,56,42
85,"Upendra Trivedi, 78, Indian actor and director.[86]",https://en.wikipedia.org/wiki/Upendra_Trivedi,2015-01-04 00:00:00,Upendra Trivedi,78.0,Indian,, actor and director,0,0,3097,154,56,21
86,"Richard D. Veltri, 79, American politician, member of the Connecticut House of Representatives.[87]",https://en.wikipedia.org/wiki/Richard_D._Veltri,2015-01-04 00:00:00,Richard D. Veltri,79.0,American,," politician, member of the Connecticut House of Representatives",0,0,516,7,4,7
87,"René Vautier, 86, French film director (Avoir 20 ans dans les Aurès).[88]",https://en.wikipedia.org/wiki/Ren%C3%A9_Vautier,2015-01-04 00:00:00,René Vautier,86.0,French,, film director (Avoir 20 ans dans les Aurès),0,0,2329,27,16,300
88,"Bernard Williams, 72, British film producer (A Clockwork Orange, Daredevil, Flash Gordon), cancer.[89]",https://en.wikipedia.org/wiki/Bernard_Williams_(producer),2015-01-04 00:00:00,Bernard Williams,72.0,British,cancer, film producer (A Clockwork Orange Daredevil Flash Gordon),0,0,2295,6,3,19
89,"Edmund Wnuk-Lipiński, 70, Polish academic.[90]",https://en.wikipedia.org/wiki/Edmund_Wnuk-Lipi%C5%84ski,2015-01-04 00:00:00,Edmund Wnuk-Lipiński,70.0,Polish,, academic,0,0,3944,70,43,23
90,"János Zsombolyai, 75, Hungarian cinematographer, film director and screenwriter.[91]",https://en.wikipedia.org/wiki/J%C3%A1nos_Zsombolyai,2015-01-04 00:00:00,János Zsombolyai,75.0,Hungarian,," cinematographer, film director and screenwriter",0,0,354,32,15,19
91,"Joy Ali, 36, Fijian middleweight boxer.[92]",https://en.wikipedia.org/wiki/Joy_Ali,2015-01-05 00:00:00,Joy Ali,36.0,Fijian,, middleweight boxer,0,0,698,177,77,17
92,"Jean-Pierre Beltoise, 77, French Formula One racing driver, winner of the 1972 Monaco Grand Prix, stroke.[93]",https://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,2015-01-05 00:00:00,Jean-Pierre Beltoise,77.0,French,stroke, Formula One racing driver winner of the 1972 Monaco Grand Prix,0,0,3267,319,117,291
93,"Al Bendich, 85, American civil rights attorney.[94]",https://en.wikipedia.org/wiki/Al_Bendich,2015-01-05 00:00:00,Al Bendich,85.0,American,, civil rights attorney,0,0,717,11,9,3
94,"Khan Bonfils, 42, English actor (Star Wars: Episode I – The Phantom Menace, Batman Begins, Skyfall).[95]",https://en.wikipedia.org/wiki/Khan_Bonfils,2015-01-05 00:00:00,Khan Bonfils,42.0,English,," actor (Star Wars: Episode I – The Phantom Menace, Batman Begins, Skyfall)",0,0,1299,89,69,26
95,"Jim Burton, 53, Canadian ice hockey player (Hershey Bears) and coach, heart attack.[96]",https://en.wikipedia.org/wiki/Jim_Burton_(ice_hockey),2015-01-05 00:00:00,Jim Burton,53.0,Canadian,heart attack, ice hockey player (Hershey Bears) and coach,0,0,523,32,20,14
96,"Jack Calmes, 71, American inventor, executive and musician.[97]",https://en.wikipedia.org/wiki/Jack_Calmes,2015-01-05 00:00:00,Jack Calmes,71.0,American,," inventor, executive and musician",0,0,12234,55,16,7
97,"Eylül Cansın, 24, Turkish transgender woman, suicide by jumping.[98]",https://en.wikipedia.org/wiki/Eyl%C3%BCl_Cans%C4%B1n,2015-01-05 00:00:00,Eylül Cansın,24.0,Turkish,suicide by jumping, transgender woman,0,0,2689,66,19,10
98,"Bobby Carter, 75, American politician, member of the Tennessee Senate (1995–2002).[99]",https://en.wikipedia.org/wiki/Bobby_Carter,2015-01-05 00:00:00,Bobby Carter,75.0,American,," politician, member of the Tennessee Senate (1995–2002)",0,0,1260,24,5,10
99,"William R. Catton, Jr., 88, American environmental sociologist.[100]","https://en.wikipedia.org/wiki/William_R._Catton,_Jr.",2015-01-05 00:00:00,"William R. Catton, Jr.",88.0,American,, environmental sociologist,0,0,9104,85,47,49
100,"Arthur E. Chase, 84, American politician, member of the Massachusetts Senate (1991–1995).[101]",https://en.wikipedia.org/wiki/Arthur_E._Chase,2015-01-05 00:00:00,Arthur E. Chase,84.0,American,," politician, member of the Massachusetts Senate (1991–1995)",0,0,9895,100,22,21
101,"Albert Firth, 77, English rugby league player (Wakefield Trinity).[102]",https://en.wikipedia.org/wiki/Albert_Firth,2015-01-05 00:00:00,Albert Firth,77.0,English,, rugby league player (Wakefield Trinity),0,0,3981,101,25,35
102,"Antonio Fuertes, 85, Spanish footballer (Valencia, Elche).[103]",https://en.wikipedia.org/wiki/Antonio_Fuertes,2015-01-05 00:00:00,Antonio Fuertes,85.0,Spanish,," footballer (Valencia, Elche)",0,0,259,14,9,8
103,"Vadim Glovatsky, 45, Kazakhstani ice hockey player (Metallurg Magnitogorsk).[104]",https://en.wikipedia.org/wiki/Vadim_Glovatsky,2015-01-05 00:00:00,Vadim Glovatsky,45.0,Kazakhstani,, ice hockey player (Metallurg Magnitogorsk),0,0,614,7,6,9
104,"Joe Haines, 91, American politician, member of the Ohio House of Representatives (1981–1999).[105]",https://en.wikipedia.org/wiki/Joe_Haines_(politician),2015-01-05 00:00:00,Joe Haines,91.0,American,," politician, member of the Ohio House of Representatives (1981–1999)",0,0,462,24,17,25
105,"Ken Hale, 75, English football player and manager.[106]",https://en.wikipedia.org/wiki/Ken_Hale_(footballer),2015-01-05 00:00:00,Ken Hale,75.0,English,, football player and manager,0,0,479,24,18,106
106,"Niels Hansen, 90, German diplomat.[107]",https://en.wikipedia.org/wiki/Niels_Hansen_(diplomat),2015-01-05 00:00:00,Niels Hansen,90.0,German,, diplomat,0,0,141,28,18,11
107,"Milton Hebald, 97, American sculptor.[108]",https://en.wikipedia.org/wiki/Milton_Hebald,2015-01-05 00:00:00,Milton Hebald,97.0,American,, sculptor,0,0,4478,91,49,33
108,"Dan Held, 53, Canadian ice hockey player.[109]",https://en.wikipedia.org/wiki/Dan_Held,2015-01-05 00:00:00,Dan Held,53.0,Canadian,, ice hockey player,0,0,368,20,11,16
109,"Martin Joseph, 65, Trinidadian politician, Minister of National Security (2003–2010), drowned.[110]",https://en.wikipedia.org/wiki/Martin_Joseph_(politician),2015-01-05 00:00:00,Martin Joseph,65.0,Trinidadian,drowned, politician Minister of National Security (2003–2010),0,0,411,5,5,4
