id,text,url,death_date,name,age,nationality,claim,cause
0,"Barbara Atkinson, 88, British actress (Z-Cars).[1]",https://en.wikipedia.org/wiki/Barbara_Atkinson,2015-01-01 00:00:00,Barbara Atkinson,88,British,actress,
1,"Staryl C. Austin, 94, American air force brigadier general.[2]",https://en.wikipedia.org/wiki/Staryl_C._Austin,2015-01-01 00:00:00,Staryl C. Austin,94,American,air force brigadier general,
2,"Ulrich Beck, 70, German sociologist, heart attack.[3]",https://en.wikipedia.org/wiki/Ulrich_Beck,2015-01-01 00:00:00,Ulrich Beck,70,German,sociologist,heart attack
3,"Fiona Cumming, 77, British television director (Doctor Who).[4]",https://en.wikipedia.org/wiki/Fiona_Cumming,2015-01-01 00:00:00,Fiona Cumming,77,British,television director,
4,"Eric Cunningham, 65, Canadian politician, Ontario MPP for Wentworth North (1975–1984).[5]",https://en.wikipedia.org/wiki/Eric_Cunningham,2015-01-01 00:00:00,Eric Cunningham,65,Canadian,politician,
5,"Mario Cuomo, 82, American politician, Governor of New York (1983–1994), heart failure.[6]",https://en.wikipedia.org/wiki/Mario_Cuomo,2015-01-01 00:00:00,Mario Cuomo,82,American,politician,heart failure
6,"Donna Douglas, 82, American actress (The Beverly Hillbillies, Frankie and Johnny, The Twilight Zone), pancreatic cancer.[7]",https://en.wikipedia.org/wiki/Donna_Douglas,2015-01-01 00:00:00,Donna Douglas,82,American,actress,pancreatic cancer
7,"Matthew Franjola, 72, American journalist (Associated Press) and photographer.[8]",https://en.wikipedia.org/wiki/Matthew_Franjola,2015-01-01 00:00:00,Matthew Franjola,72,American,journalist and photographer,
8,"Jeff Golub, 59, American guitarist, progressive supranuclear palsy.[9]",https://en.wikipedia.org/wiki/Jeff_Golub,2015-01-01 00:00:00,Jeff Golub,59,American,guitarist,progressive supranuclear palsy
9,"Omar Karami, 80, Lebanese politician, Prime Minister (1990–1992, 2004–2005).[10]",https://en.wikipedia.org/wiki/Omar_Karami,2015-01-01 00:00:00,Omar Karami,80,Lebanese,politician,
10,"Bill Keating, 70, American football player (Denver Broncos, Miami Dolphins) and attorney.[11]",https://en.wikipedia.org/wiki/Bill_Keating_(American_football),2015-01-01 00:00:00,Bill Keating,70,American,football player and attorney,
11,"Tore Helge Larsen, 69, Norwegian harness racer.[12]",https://en.wikipedia.org/wiki/Tore_Helge_Larsen,2015-01-01 00:00:00,Tore Helge Larsen,69,Norwegian,harness racer,
12,"Géry Leuliet, 104, French Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985).[13]",https://en.wikipedia.org/wiki/G%C3%A9ry_Leuliet,2015-01-01 00:00:00,Géry Leuliet,104,French,Roman Catholic prelate,
13,"Boris Morukov, 64, Russian physician and cosmonaut, STS-106 mission specialist.[14]",https://en.wikipedia.org/wiki/Boris_Morukov,2015-01-01 00:00:00,Boris Morukov,64,Russian,physician and cosmonaut,
14,"Kjell Noreik, 85, Norwegian physician.[15]",https://en.wikipedia.org/wiki/Kjell_Noreik,2015-01-01 00:00:00,Kjell Noreik,85,Norwegian,physician,
15,"Mrunalini Devi Puar, 83, Indian educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988).[16]",https://en.wikipedia.org/wiki/Mrunalini_Devi_Puar,2015-01-01 00:00:00,Mrunalini Devi Puar,83,Indian,educator,
16,"Ninón Sevilla, 93, Cuban-born Mexican actress (Aventurera), heart attack.[17]",https://en.wikipedia.org/wiki/Nin%C3%B3n_Sevilla,2015-01-01 00:00:00,Ninón Sevilla,93,Cuban-born Mexican,actress,heart attack
17,"William Lloyd Standish, 84, American federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002).[18]",https://en.wikipedia.org/wiki/William_Lloyd_Standish,2015-01-01 00:00:00,William Lloyd Standish,84,American,federal judge,
18,"Manasa Vaniqi, 62, Fijian civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009).[19]",https://en.wikipedia.org/wiki/Manasa_Vaniqi,2015-01-01 00:00:00,Manasa Vaniqi,62,Fijian,civil servant and lieutenant colonel,
19,"Miller Williams, 84, American poet, Alzheimer's disease.[20]",https://en.wikipedia.org/wiki/Miller_Williams,2015-01-01 00:00:00,Miller Williams,84,American,poet,Alzheimer's disease
20,"Per-Olof Åstrand, 92, Swedish physiologist.[21]",https://en.wikipedia.org/wiki/Per-Olof_%C3%85strand,2015-01-02 00:00:00,Per-Olof Åstrand,92,Swedish,physiologist,
21,"James A. Barlow, 91, American politician, member of the Wyoming House of Representatives (1983–1987).[22]",https://en.wikipedia.org/wiki/James_A._Barlow,2015-01-02 00:00:00,James A. Barlow,91,American,politician,
22,"Charles Baur, 85, French politician, President of the Regional Council of Picardy (1976–1978, 1985–2004).[23]",https://en.wikipedia.org/wiki/Charles_Baur,2015-01-02 00:00:00,Charles Baur,85,French,politician,
23,"Noel Cobb, 76, American-born British philosopher, psychologist and author.[24]",https://en.wikipedia.org/wiki/Noel_Cobb,2015-01-02 00:00:00,Noel Cobb,76,American-born British,philosopher,
24,"Little Jimmy Dickens, 94, American country music singer (""May the Bird of Paradise Fly Up Your Nose""), cardiac arrest.[25]",https://en.wikipedia.org/wiki/Little_Jimmy_Dickens,2015-01-02 00:00:00,Little Jimmy Dickens,94,American,country music singer,cardiac arrest
25,"Baldina Di Vittorio, 94, Italian politician.[26]",https://en.wikipedia.org/wiki/Baldina_Di_Vittorio,2015-01-02 00:00:00,Baldina Di Vittorio,94,Italian,politician,
26,"Danny Dunton, 90, English speedway rider and promoter.[27]",https://en.wikipedia.org/wiki/Danny_Dunton,2015-01-02 00:00:00,Danny Dunton,90,English,speedway rider and promoter,
27,"Maurice Fontaine, 95, French politician.[28]",https://en.wikipedia.org/wiki/Maurice_Fontaine,2015-01-02 00:00:00,Maurice Fontaine,95,French,politician,
28,"Bob Gilmore, 53, British musicologist.[29]",https://en.wikipedia.org/wiki/Bob_Gilmore,2015-01-02 00:00:00,Bob Gilmore,53,British,musicologist,
29,"Vasant Gowarikar, 81, Indian scientist and ISRO chairman, dengue and urinary tract infection.[30]",https://en.wikipedia.org/wiki/Vasant_Gowarikar,2015-01-02 00:00:00,Vasant Gowarikar,81,Indian,scientist and ISRO chairman,dengue and urinary tract infection
30,"Basil Hansen, 88, Australian Olympic ice hockey player (1960).[31]",https://en.wikipedia.org/wiki/Basil_Hansen,2015-01-02 00:00:00,Basil Hansen,88,Australian,Olympic ice hockey player,
31,"Lloyd House, 83, American politician, member of the Arizona House of Representatives (1967–1968).[32]",https://en.wikipedia.org/wiki/Lloyd_House_(politician),2015-01-02 00:00:00,Lloyd House,83,American,politician,
32,"Lam Pou-chuen, 63, Hong Kong dubbing artist (Doraemon), diabetes.[33]",https://en.wikipedia.org/wiki/Lam_Pou-chuen,2015-01-02 00:00:00,Lam Pou-chuen,63,Hong Kong,dubbing artist,diabetes
33,"Abu Anas al-Libi, 50, Libyan al-Qaeda member in United States custody, liver cancer.[34]",https://en.wikipedia.org/wiki/Abu_Anas_al-Libi,2015-01-02 00:00:00,Abu Anas al-Libi,50,Libyan,al-Qaeda member in United States custody,liver cancer
34,"John McQuilten, 65, Australian politician, member of the Victorian Legislative Council for Ballarat (1999–2006).[35]",https://en.wikipedia.org/wiki/John_McQuilten,2015-01-02 00:00:00,John McQuilten,65,Australian,politician,
35,"Derek Minter, 82, British Grand Prix motorcycle and short-circuit road racer.[36]",https://en.wikipedia.org/wiki/Derek_Minter,2015-01-02 00:00:00,Derek Minter,82,British,Grand Prix motorcycle and short-circuit road racer,
36,"Arthur Neu, 81, American politician, Lieutenant Governor of Iowa (1973–1979), member of the Iowa Senate (1967–1973).[37]",https://en.wikipedia.org/wiki/Arthur_Neu,2015-01-02 00:00:00,Arthur Neu,81,American,politician,
37,"Tihomir Novakov, 85, Serbian-born American physicist.[38]",https://en.wikipedia.org/wiki/Tihomir_Novakov,2015-01-02 00:00:00,Tihomir Novakov,85,Serbian-born American,physicist,
38,"István Pásztor, 89, Hungarian Olympic cyclist (1952).[39]",https://en.wikipedia.org/wiki/Istv%C3%A1n_P%C3%A1sztor_(cyclist),2015-01-02 00:00:00,István Pásztor,89,Hungarian,Olympic cyclist,
39,"Arpád Račko, 84, Hungarian-born Slovak sculptor.[40]",https://en.wikipedia.org/wiki/Arp%C3%A1d_Ra%C4%8Dko,2015-01-02 00:00:00,Arpád Račko,84,Hungarian-born Slovak,sculptor,
40,"Vincent Cartledge Reddish, 86, Scottish astronomer, Astronomer Royal for Scotland (1975–1980).[41]",https://en.wikipedia.org/wiki/Vincent_Cartledge_Reddish,2015-01-02 00:00:00,Vincent Cartledge Reddish,86,Scottish,astronomer,
41,"Kristian Sundtoft, 77, Norwegian politician.[42]",https://en.wikipedia.org/wiki/Kristian_Sundtoft,2015-01-02 00:00:00,Kristian Sundtoft,77,Norwegian,politician,
42,"Jamal Uddin Ahmad, 85, Bangladeshi politician, Deputy Prime Minister (1977–1982).[43]",https://en.wikipedia.org/wiki/Jamal_Uddin_Ahmad,2015-01-03 00:00:00,Jamal Uddin Ahmad,85,Bangladeshi,politician,
43,"Daniel Albright, 69, American academic.[44]",https://en.wikipedia.org/wiki/Daniel_Albright,2015-01-03 00:00:00,Daniel Albright,69,American,academic,
44,"Martin Anderson, 78, American economist and political adviser.[45]",https://en.wikipedia.org/wiki/Martin_Anderson_(economist),2015-01-03 00:00:00,Martin Anderson,78,American,economist and political adviser,
45,"Adunni Bankole, 55, Nigerian businesswoman.[46]",https://en.wikipedia.org/wiki/Adunni_Bankole,2015-01-03 00:00:00,Adunni Bankole,55,Nigerian,businesswoman,
46,"Edward Brooke, 95, American politician, member of the U.S. Senate from Massachusetts (1967–1979).[47]",https://en.wikipedia.org/wiki/Edward_Brooke,2015-01-03 00:00:00,Edward Brooke,95,American,politician,
47,"Bryan Caldwell, 54, American football player (Houston Oilers), Hodgkin's lymphoma.[48]",https://en.wikipedia.org/wiki/Bryan_Caldwell,2015-01-03 00:00:00,Bryan Caldwell,54,American,football player,Hodgkin's lymphoma
48,"Paulinus Costa, 78, Bangladeshi Roman Catholic prelate, Archbishop of Dhaka (2005–2011), heart attack.[49]",https://en.wikipedia.org/wiki/Paulinus_Costa,2015-01-03 00:00:00,Paulinus Costa,78,Bangladeshi,Roman Catholic prelate,heart attack
49,"Maher Hathout, 79, Egyptian-born American Islamic leader, cancer.[50]",https://en.wikipedia.org/wiki/Maher_Hathout,2015-01-03 00:00:00,Maher Hathout,79,Egyptian-born American,Islamic leader,cancer
50,"Bill Jessup, 85, American football player (San Francisco 49ers).[51]",https://en.wikipedia.org/wiki/Bill_Jessup,2015-01-03 00:00:00,Bill Jessup,85,American,football player,
51,"Rueben Philip Job, 86, American United Methodist prelate, Bishop of the Iowa Episcopal Area (1984–1992).[52]",https://en.wikipedia.org/wiki/Rueben_Philip_Job,2015-01-03 00:00:00,Rueben Philip Job,86,American,United Methodist prelate,
52,"Muath al-Kasasbeh, 26, Jordanian fighter pilot and ISIS hostage, burned alive.[53]",https://en.wikipedia.org/wiki/Muath_al-Kasasbeh,2015-01-03 00:00:00,Muath al-Kasasbeh,26,Jordanian,fighter pilot and ISIS hostage,burned alive
53,"Roger Kitter, 65, British actor ('Allo 'Allo!) and entertainer, cancer.[54]",https://en.wikipedia.org/wiki/Roger_Kitter,2015-01-03 00:00:00,Roger Kitter,65,British,actor and entertainer,cancer
54,"Olga Knyazeva, 60, Russian fencer, Olympic champion (1976).[55]",https://en.wikipedia.org/wiki/Olga_Knyazeva,2015-01-03 00:00:00,Olga Knyazeva,60,Russian,fencer,
55,"Bernice Madigan, 115, American supercentenarian, world's fifth-oldest person.[56]",https://en.wikipedia.org/wiki/Bernice_Madigan,2015-01-03 00:00:00,Bernice Madigan,115,American,supercentenarian,
56,"Willy Ovesen, 90, Norwegian civil servant.[57]",https://en.wikipedia.org/wiki/Willy_Ovesen,2015-01-03 00:00:00,Willy Ovesen,90,Norwegian,civil servant,
57,"Terence Ranger, 85, British historian.[58]",https://en.wikipedia.org/wiki/Terence_Ranger,2015-01-03 00:00:00,Terence Ranger,85,British,historian,
58,"Jaime Romero Móran, 22, Mexican gymnast, shot.[59]",https://en.wikipedia.org/wiki/Jaime_Romero_M%C3%B3ran,2015-01-03 00:00:00,Jaime Romero Móran,22,Mexican,gymnast,shot
59,"Allie Sherman, 91, American football player (Philadelphia Eagles) and coach (New York Giants).[60]",https://en.wikipedia.org/wiki/Allie_Sherman,2015-01-03 00:00:00,Allie Sherman,91,American,football player and coach,
60,"Jouko Törmänen, 60, Finnish ski jumper, Olympic champion (1980).[61]",https://en.wikipedia.org/wiki/Jouko_T%C3%B6rm%C3%A4nen,2015-01-03 00:00:00,Jouko Törmänen,60,Finnish,ski jumper,
61,"Chang Sung-hwan, 94, South Korean general and diplomat, Chief of Staff of the Air Force (1962–1964).[62]",https://en.wikipedia.org/wiki/Chang_Sung-hwan,2015-01-04 00:00:00,Chang Sung-hwan,94,South Korean,general and diplomat,
62,"Elisabetta Catalano, 70, Italian fine-art photographer.[63]",https://en.wikipedia.org/wiki/Elisabetta_Catalano,2015-01-04 00:00:00,Elisabetta Catalano,70,Italian,fine-art photographer,
63,"Pino Daniele, 59, Italian singer and songwriter, heart attack.[64]",https://en.wikipedia.org/wiki/Pino_Daniele,2015-01-04 00:00:00,Pino Daniele,59,Italian,singer and songwriter,heart attack
64,"Chitresh Das, 70, Indian dancer, instructor and choreographer, aneurysm.[65]",https://en.wikipedia.org/wiki/Chitresh_Das,2015-01-04 00:00:00,Chitresh Das,70,Indian,dancer,aneurysm
65,"Al Delugach, 89, American Pulitzer Prize-winning reporter, mesothelioma.[66]",https://en.wikipedia.org/wiki/Al_Delugach,2015-01-04 00:00:00,Al Delugach,89,American,Pulitzer Prize-winning reporter,mesothelioma
66,"Lance Diamond, 69, American singer.[67]",https://en.wikipedia.org/wiki/Lance_Diamond,2015-01-04 00:00:00,Lance Diamond,69,American,singer,
67,"Jay Furman, 72, American real estate developer, cancer.[68]",https://en.wikipedia.org/wiki/Jay_Furman,2015-01-04 00:00:00,Jay Furman,72,American,real estate developer,cancer
68,"He Zhenliang, 85, Chinese politician and diplomat.[69]",https://en.wikipedia.org/wiki/He_Zhenliang,2015-01-04 00:00:00,He Zhenliang,85,Chinese,politician and diplomat,
69,"Gene Kemp, 88, British children's author (The Turbulent Term of Tyke Tiler).[70]",https://en.wikipedia.org/wiki/Gene_Kemp,2015-01-04 00:00:00,Gene Kemp,88,British,children's author,
70,"Haroldo Lara, 80, Brazilian Olympic swimmer (1952, 1956).[71]",https://en.wikipedia.org/wiki/Haroldo_Lara,2015-01-04 00:00:00,Haroldo Lara,80,Brazilian,Olympic swimmer,
71,"Azizullah Lodin, 75–76, Afghan politician.[72]",https://en.wikipedia.org/wiki/Azizullah_Lodin,2015-01-04 00:00:00,Azizullah Lodin,75,Afghan,politician,
72,"Gasan Magomedov, 20, Russian footballer (Anzhi-2), shot.[73]",https://en.wikipedia.org/wiki/Gasan_Magomedov,2015-01-04 00:00:00,Gasan Magomedov,20,Russian,footballer,shot
73,"John McPhee, 77, Scottish footballer (Blackpool, Motherwell).[74]",https://en.wikipedia.org/wiki/John_McPhee_(footballer),2015-01-04 00:00:00,John McPhee,77,Scottish,footballer,
74,"Stu Miller, 87, American baseball player (San Francisco Giants, Baltimore Orioles).[75]",https://en.wikipedia.org/wiki/Stu_Miller,2015-01-04 00:00:00,Stu Miller,87,American,baseball player,
75,"Juan Isidro Moreno, 90, Dominican Republic poet.[76]",https://en.wikipedia.org/wiki/Juan_Isidro_Moreno,2015-01-04 00:00:00,Juan Isidro Moreno,90,Dominican Republic,poet,
76,"Hasan Hazer Moshar, 91, Iranian artist.[77]",https://en.wikipedia.org/wiki/Hasan_Hazer_Moshar,2015-01-04 00:00:00,Hasan Hazer Moshar,91,Iranian,artist,
77,"Jack Parr, 78, American basketball player (Cincinnati Royals).[78]",https://en.wikipedia.org/wiki/Jack_Parr_(basketball),2015-01-04 00:00:00,Jack Parr,78,American,basketball player,
78,"Natalino Pescarolo, 85, Italian Roman Catholic prelate, Bishop of Fossano (1992–2005) and Cuneo (1999–2005).[79]",https://en.wikipedia.org/wiki/Natalino_Pescarolo,2015-01-04 00:00:00,Natalino Pescarolo,85,Italian,Roman Catholic prelate,
79,"Hank Peters, 90, American baseball executive (Baltimore Orioles), complications from a stroke.[80]",https://en.wikipedia.org/wiki/Hank_Peters,2015-01-04 00:00:00,Hank Peters,90,American,baseball executive,complications from a stroke
80,"Ahuti Prasad, 57, Indian actor, colon cancer.[81]",https://en.wikipedia.org/wiki/Ahuti_Prasad,2015-01-04 00:00:00,Ahuti Prasad,57,Indian,actor,colon cancer
81,"Ives Roqueta, 78, French Occitan author.[82]",https://en.wikipedia.org/wiki/Ives_Roqueta,2015-01-04 00:00:00,Ives Roqueta,78,French,Occitan author,
82,"Eli Sagan, 87, American clothing manufacturer, cultural anthropology author and Nixon Enemy.[83]",https://en.wikipedia.org/wiki/Eli_Sagan,2015-01-04 00:00:00,Eli Sagan,87,American,clothing manufacturer,
83,"Stuart Scott, 49, American sports journalist (SportsCenter), appendix cancer.[84]",https://en.wikipedia.org/wiki/Stuart_Scott,2015-01-04 00:00:00,Stuart Scott,49,American,sports journalist,appendix cancer
84,"Michele Serros, 48, American novelist and poet, adenocarcinoma of the salivary gland.[85]",https://en.wikipedia.org/wiki/Michele_Serros,2015-01-04 00:00:00,Michele Serros,48,American,novelist and poet,adenocarcinoma of the salivary gland
85,"Upendra Trivedi, 78, Indian actor and director.[86]",https://en.wikipedia.org/wiki/Upendra_Trivedi,2015-01-04 00:00:00,Upendra Trivedi,78,Indian,actor and director,
86,"Richard D. Veltri, 79, American politician, member of the Connecticut House of Representatives.[87]",https://en.wikipedia.org/wiki/Richard_D._Veltri,2015-01-04 00:00:00,Richard D. Veltri,79,American,politician,
87,"René Vautier, 86, French film director (Avoir 20 ans dans les Aurès).[88]",https://en.wikipedia.org/wiki/Ren%C3%A9_Vautier,2015-01-04 00:00:00,René Vautier,86,French,film director,
88,"Bernard Williams, 72, British film producer (A Clockwork Orange, Daredevil, Flash Gordon), cancer.[89]",https://en.wikipedia.org/wiki/Bernard_Williams_(producer),2015-01-04 00:00:00,Bernard Williams,72,British,film producer,cancer
89,"Edmund Wnuk-Lipiński, 70, Polish academic.[90]",https://en.wikipedia.org/wiki/Edmund_Wnuk-Lipi%C5%84ski,2015-01-04 00:00:00,Edmund Wnuk-Lipiński,70,Polish,academic,
90,"János Zsombolyai, 75, Hungarian cinematographer, film director and screenwriter.[91]",https://en.wikipedia.org/wiki/J%C3%A1nos_Zsombolyai,2015-01-04 00:00:00,János Zsombolyai,75,Hungarian,cinematographer,
91,"Joy Ali, 36, Fijian middleweight boxer.[92]",https://en.wikipedia.org/wiki/Joy_Ali,2015-01-05 00:00:00,Joy Ali,36,Fijian,middleweight boxer,
92,"Jean-Pierre Beltoise, 77, French Formula One racing driver, winner of the 1972 Monaco Grand Prix, stroke.[93]",https://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,2015-01-05 00:00:00,Jean-Pierre Beltoise,77,French,Formula One racing driver,stroke
93,"Al Bendich, 85, American civil rights attorney.[94]",https://en.wikipedia.org/wiki/Al_Bendich,2015-01-05 00:00:00,Al Bendich,85,American,civil rights attorney,
94,"Khan Bonfils, 42, English actor (Star Wars: Episode I – The Phantom Menace, Batman Begins, Skyfall).[95]",https://en.wikipedia.org/wiki/Khan_Bonfils,2015-01-05 00:00:00,Khan Bonfils,42,English,actor,
95,"Jim Burton, 53, Canadian ice hockey player (Hershey Bears) and coach, heart attack.[96]",https://en.wikipedia.org/wiki/Jim_Burton_(ice_hockey),2015-01-05 00:00:00,Jim Burton,53,Canadian,ice hockey player and coach,heart attack
96,"Jack Calmes, 71, American inventor, executive and musician.[97]",https://en.wikipedia.org/wiki/Jack_Calmes,2015-01-05 00:00:00,Jack Calmes,71,American,inventor,
97,"Eylül Cansın, 24, Turkish transgender woman, suicide by jumping.[98]",https://en.wikipedia.org/wiki/Eyl%C3%BCl_Cans%C4%B1n,2015-01-05 00:00:00,Eylül Cansın,24,Turkish,transgender woman,suicide by jumping
98,"Bobby Carter, 75, American politician, member of the Tennessee Senate (1995–2002).[99]",https://en.wikipedia.org/wiki/Bobby_Carter,2015-01-05 00:00:00,Bobby Carter,75,American,politician,
99,"William R. Catton, Jr., 88, American environmental sociologist.[100]","https://en.wikipedia.org/wiki/William_R._Catton,_Jr.",2015-01-05 00:00:00,"William R. Catton, Jr.",88,American,environmental sociologist,
100,"Arthur E. Chase, 84, American politician, member of the Massachusetts Senate (1991–1995).[101]",https://en.wikipedia.org/wiki/Arthur_E._Chase,2015-01-05 00:00:00,Arthur E. Chase,84,American,politician,
101,"Albert Firth, 77, English rugby league player (Wakefield Trinity).[102]",https://en.wikipedia.org/wiki/Albert_Firth,2015-01-05 00:00:00,Albert Firth,77,English,rugby league player,
102,"Antonio Fuertes, 85, Spanish footballer (Valencia, Elche).[103]",https://en.wikipedia.org/wiki/Antonio_Fuertes,2015-01-05 00:00:00,Antonio Fuertes,85,Spanish,footballer,
103,"Vadim Glovatsky, 45, Kazakhstani ice hockey player (Metallurg Magnitogorsk).[104]",https://en.wikipedia.org/wiki/Vadim_Glovatsky,2015-01-05 00:00:00,Vadim Glovatsky,45,Kazakhstani,ice hockey player,
104,"Joe Haines, 91, American politician, member of the Ohio House of Representatives (1981–1999).[105]",https://en.wikipedia.org/wiki/Joe_Haines_(politician),2015-01-05 00:00:00,Joe Haines,91,American,politician,
105,"Ken Hale, 75, English football player and manager.[106]",https://en.wikipedia.org/wiki/Ken_Hale_(footballer),2015-01-05 00:00:00,Ken Hale,75,English,football player and manager,
106,"Niels Hansen, 90, German diplomat.[107]",https://en.wikipedia.org/wiki/Niels_Hansen_(diplomat),2015-01-05 00:00:00,Niels Hansen,90,German,diplomat,
107,"Milton Hebald, 97, American sculptor.[108]",https://en.wikipedia.org/wiki/Milton_Hebald,2015-01-05 00:00:00,Milton Hebald,97,American,sculptor,
108,"Dan Held, 53, Canadian ice hockey player.[109]",https://en.wikipedia.org/wiki/Dan_Held,2015-01-05 00:00:00,Dan Held,53,Canadian,ice hockey player,
109,"Martin Joseph, 65, Trinidadian politician, Minister of National Security (2003–2010), drowned.[110]",https://en.wikipedia.org/wiki/Martin_Joseph_(politician),2015-01-05 00:00:00,Martin Joseph,65,Trinidadian,politician,drowned
110,"Mustafa Kamal, 79, Bangladeshi judge, Chief Justice (1999), heart disease.[111]",https://en.wikipedia.org/wiki/Mustafa_Kamal_(judge),2015-01-05 00:00:00,Mustafa Kamal,79,Bangladeshi,judge,heart disease
111,"Anthony Ledwith, 81, British chemist.[112]",https://en.wikipedia.org/wiki/Anthony_Ledwith,2015-01-05 00:00:00,Anthony Ledwith,81,British,chemist,
112,"Earl MacNaughton, 95, Canadian physicist.[113]",https://en.wikipedia.org/wiki/Earl_MacNaughton,2015-01-05 00:00:00,Earl MacNaughton,95,Canadian,physicist,
113,"Bernard Joseph McLaughlin, 102, American Roman Catholic prelate, Auxiliary Bishop of Buffalo (1968–1988).[114]",https://en.wikipedia.org/wiki/Bernard_Joseph_McLaughlin,2015-01-05 00:00:00,Bernard Joseph McLaughlin,102,American,Roman Catholic prelate,
114,"Harold Murphy, 74, American politician, member of the Illinois House of Representatives (1993–2003).[115]",https://en.wikipedia.org/wiki/Harold_Murphy_(politician),2015-01-05 00:00:00,Harold Murphy,74,American,politician,
115,"Ganesh Patro, 69, Indian playwright and screenwriter, cancer.[116]",https://en.wikipedia.org/wiki/Ganesh_Patro,2015-01-05 00:00:00,Ganesh Patro,69,Indian,playwright and screenwriter,cancer
116,"Alfons Peeters, 71, Belgian footballer.[117]",https://en.wikipedia.org/wiki/Alfons_Peeters,2015-01-05 00:00:00,Alfons Peeters,71,Belgian,footballer,
117,"Joan Peters, 78, American author (From Time Immemorial), complications from a stroke.[118]",https://en.wikipedia.org/wiki/Joan_Peters,2015-01-05 00:00:00,Joan Peters,78,American,author,complications from a stroke
118,"King Sporty, 71, Jamaican-American reggae musician.[119]",https://en.wikipedia.org/wiki/King_Sporty,2015-01-05 00:00:00,King Sporty,71,Jamaican-American,reggae musician,
119,"Geoff Truett, 79, English footballer (Crystal Palace).[120]",https://en.wikipedia.org/wiki/Geoff_Truett,2015-01-05 00:00:00,Geoff Truett,79,English,footballer,
120,"Anton Amann, 58, Austrian chemist.[121]",https://en.wikipedia.org/wiki/Anton_Amann,2015-01-06 00:00:00,Anton Amann,58,Austrian,chemist,
121,"Else M. Barth, 86, Norwegian philosopher.[122]",https://en.wikipedia.org/wiki/Else_M._Barth,2015-01-06 00:00:00,Else M. Barth,86,Norwegian,philosopher,
122,"Vlastimil Bubník, 83, Czech ice hockey player and footballer, Olympic bronze medalist (1964).[123]",https://en.wikipedia.org/wiki/Vlastimil_Bubn%C3%ADk,2015-01-06 00:00:00,Vlastimil Bubník,83,Czech,ice hockey player and footballer,
123,"Buffalo Tiger, 94, American politician, Chairman of the Miccosukee Tribe of Indians of Florida (1962–1985).[124]",https://en.wikipedia.org/wiki/Buffalo_Tiger,2015-01-06 00:00:00,Buffalo Tiger,94,American,politician,
124,"Joseph Djida, 69, Cameroonian Roman Catholic prelate, Bishop of Ngaoundéré (since 2000).[125]",https://en.wikipedia.org/wiki/Joseph_Djida,2015-01-06 00:00:00,Joseph Djida,69,Cameroonian,Roman Catholic prelate,
125,"Johannes de Villiers Graaff, 86, South African economist.[126]",https://en.wikipedia.org/wiki/Johannes_de_Villiers_Graaff,2015-01-06 00:00:00,Johannes de Villiers Graaff,86,South African,economist,
126,"Lawrence Gushee, 83, American musicologist.[127]",https://en.wikipedia.org/wiki/Lawrence_Gushee,2015-01-06 00:00:00,Lawrence Gushee,83,American,musicologist,
127,"Jean Hendriks, 89, Dutch politician, member of the Senate (1981–1991).[128]",https://en.wikipedia.org/wiki/Jean_Hendriks,2015-01-06 00:00:00,Jean Hendriks,89,Dutch,politician,
128,"Francesca Hilton, 67, American actress and socialite, stroke.[129]",https://en.wikipedia.org/wiki/Francesca_Hilton,2015-01-06 00:00:00,Francesca Hilton,67,American,actress and socialite,stroke
129,"Ron Hovey, 82, Australian football player (Geelong).[130]",https://en.wikipedia.org/wiki/Ron_Hovey,2015-01-06 00:00:00,Ron Hovey,82,Australian,football player,
130,"Arthur Jackson, 96, American sports shooter.[131]",https://en.wikipedia.org/wiki/Arthur_Jackson_(sport_shooter),2015-01-06 00:00:00,Arthur Jackson,96,American,sports shooter,
131,"Sir Basil John Mason, 91, British meteorologist.[132]",https://en.wikipedia.org/wiki/Basil_John_Mason,2015-01-06 00:00:00,Sir Basil John Mason,91,British,meteorologist,
132,"George H. McKee, 91, American air force lieutenant general.[133]",https://en.wikipedia.org/wiki/George_H._McKee,2015-01-06 00:00:00,George H. McKee,91,American,air force lieutenant general,
133,"Lance Percival, 81, British actor (That Was the Week That Was, The Beatles) and singer (""Shame and Scandal in the Family"").[134]",https://en.wikipedia.org/wiki/Lance_Percival,2015-01-06 00:00:00,Lance Percival,81,British,actor and singer,
134,"Gilberto Perez, 71, Cuban-born American professor of film studies.[135]",https://en.wikipedia.org/wiki/Gilberto_Perez,2015-01-06 00:00:00,Gilberto Perez,71,Cuban-born American,professor of film studies,
135,"Sanford E. Reisenbach, 82, American marketing executive (Warner Bros.).[136]",https://en.wikipedia.org/wiki/Sanford_E._Reisenbach,2015-01-06 00:00:00,Sanford E. Reisenbach,82,American,marketing executive,
136,"Patricia Roppel, 76, American historian and teacher, specialist in the history of Southeast Alaska, cancer.[137]",https://en.wikipedia.org/wiki/Patricia_Roppel,2015-01-06 00:00:00,Patricia Roppel,76,American,historian and teacher,cancer
