id,text,url,death_date,name,age,nationality,claim,cause
8956,"Gillian Mears, 51, Australian writer (Foal's Bread).[287]",https://en.wikipedia.org/wiki/Gillian_Mears,2016-05-16 00:00:00,Gillian Mears,51,Australian,writer,
8957,"Emilio Navaira, 53, American country and Tejano singer (Life Is Good), heart failure.[288]",https://en.wikipedia.org/wiki/Emilio_Navaira,2016-05-16 00:00:00,Emilio Navaira,53,American,country and Tejano singer,heart failure
8958,"Noriko Nishimoto, 75, Japanese-born Australian puppeteer, cancer.[289]",https://en.wikipedia.org/wiki/Noriko_Nishimoto,2016-05-16 00:00:00,Noriko Nishimoto,75,Japanese-born Australian,puppeteer,cancer
8959,"Fredrik Norén, 75, Swedish jazz drummer.[290] (death announced on this date)",https://en.wikipedia.org/wiki/Fredrik_Nor%C3%A9n,2016-05-16 00:00:00,Fredrik Norén,75,Swedish,jazz drummer,
8960,"Mamie Rallins, 74, American hurdler, traffic collision.[291]",https://en.wikipedia.org/wiki/Mamie_Rallins,2016-05-16 00:00:00,Mamie Rallins,74,American,hurdler,traffic collision
8961,"David Rendel, 67, British politician, MP for Newbury (1993–2005), cancer.[292]",https://en.wikipedia.org/wiki/David_Rendel,2016-05-16 00:00:00,David Rendel,67,British,politician,cancer
8962,"Bjarne Saltnes, 82, Norwegian politician.[293]",https://en.wikipedia.org/wiki/Bjarne_Saltnes,2016-05-16 00:00:00,Bjarne Saltnes,82,Norwegian,politician,
8963,"Deepak Shodhan, 87, Indian cricketer, lung cancer.[294]",https://en.wikipedia.org/wiki/Deepak_Shodhan,2016-05-16 00:00:00,Deepak Shodhan,87,Indian,cricketer,lung cancer
8964,"Lino Toffolo, 81, Italian actor (Yuppi du, Brancaleone at the Crusades) and singer.[295]",https://en.wikipedia.org/wiki/Lino_Toffolo,2016-05-16 00:00:00,Lino Toffolo,81,Italian,actor and singer,
8965,"Jack Unruh, 80, American commercial illustrator.[296]",https://en.wikipedia.org/wiki/Jack_Unruh,2016-05-16 00:00:00,Jack Unruh,80,American,commercial illustrator,
8966,"Oscar Whitbread, 86, English-born Australian television producer.[297]",https://en.wikipedia.org/wiki/Oscar_Whitbread,2016-05-16 00:00:00,Oscar Whitbread,86,English-born Australian,television producer,
8967,"Seán Ardagh, 68, Irish politician, TD (1997–2011).[298]",https://en.wikipedia.org/wiki/Se%C3%A1n_Ardagh,2016-05-17 00:00:00,Seán Ardagh,68,Irish,politician,
8968,"Guy Clark, 74, American folk singer-songwriter (""Desperados Waiting for a Train"", ""Workbench Songs"", ""My Favorite Picture of You""), Grammy winner (2014), cancer.[299]",https://en.wikipedia.org/wiki/Guy_Clark,2016-05-17 00:00:00,Guy Clark,74,American,folk singer-songwriter,cancer
8969,"Benjamin de Roo, 76, Dutch-born Australian gymnast.[300]",https://en.wikipedia.org/wiki/Benjamin_de_Roo,2016-05-17 00:00:00,Benjamin de Roo,76,Dutch-born Australian,gymnast,
8970,"Vinjamuri Seetha Devi, Indian folk singer.[301]",https://en.wikipedia.org/wiki/Vinjamuri_Seetha_Devi,2016-05-17 00:00:00,Vinjamuri Seetha Devi,,Indian,folk singer,
8971,"Paulo Emilio, 80, Brazilian football manager.[302]",https://en.wikipedia.org/wiki/Paulo_Emilio,2016-05-17 00:00:00,Paulo Emilio,80,Brazilian,football manager,
8972,"Kim Jae-soon, 92, South Korean politician, Speaker of the National Assembly (1988–1990).[303]",https://en.wikipedia.org/wiki/Kim_Jae-soon,2016-05-17 00:00:00,Kim Jae-soon,92,South Korean,politician,
8973,"Ed Kolenovsky, 87, American photographer (Associated Press).[304]",https://en.wikipedia.org/wiki/Ed_Kolenovsky,2016-05-17 00:00:00,Ed Kolenovsky,87,American,photographer,
8974,"Alexandru Lăpușan, 61, Romanian politician, mayor of Dej (1991), MP (1992–1994) and Minister of Agriculture (1992–1996).[305]",https://en.wikipedia.org/wiki/Alexandru_L%C4%83pu%C8%99an,2016-05-17 00:00:00,Alexandru Lăpușan,61,Romanian,politician,
8975,"Edmund V. Ludwig, 87, American federal judge, member of the District Court for the E.D. of Pennsylvania (since 1985).[306]",https://en.wikipedia.org/wiki/Edmund_V._Ludwig,2016-05-17 00:00:00,Edmund V. Ludwig,87,American,federal judge,
8976,"Yūko Mizutani, 51, Japanese voice actress (Digimon, Black Jack, Tenchi Muyo!), breast cancer.[307]",https://en.wikipedia.org/wiki/Y%C5%ABko_Mizutani,2016-05-17 00:00:00,Yūko Mizutani,51,Japanese,voice actress,breast cancer
8977,"Xavier de Planhol, 90, French geographer.[308]",https://en.wikipedia.org/wiki/Xavier_de_Planhol,2016-05-17 00:00:00,Xavier de Planhol,90,French,geographer,
8978,"Müzahir Sille, 84, Turkish wrestler, Olympic champion (1960).[309]",https://en.wikipedia.org/wiki/M%C3%BCzahir_Sille,2016-05-17 00:00:00,Müzahir Sille,84,Turkish,wrestler,
